Good,Bad,Brilliant,Warm,Great,Happy
Happy,Sad,Smart,Ugly,Clumsy,Close
Above,Below,Sad,Dead,Free,Kind
Kind,Cruel,Happy,Friendly,Agree,Sad
Fast,Slow,Speed,Kind,Next,Quick
Day,Night,Morning,Windy,Sunny,Rain
Empty,Full,Lost,Ugly,Down,Black
Up,Down,Side,Top,Clouds,Rain
Pass,Fail,Good,Teacher,Happy,Short
Short,Tall,Big,Hungry,Sad,Fat
Hot,Cold,Breezy,Windy,Sunny,Rainy
Expensive,Cheap,Wealthy,Money,Happy,Rich
Beautiful,Ugly,Awesome,Clean,Nice,Smelly
Thick,Thin,Heavy,Fat,Young,Clean
Early,Late,Small,Simple,Early,Time
Many,Few,Some,None,Great,Speed
Light,Dark,Colourful,Many,Clouds,Sunny
Old,Young,Happy,Age,Tired,Sleepy
Float,Sink,Survive,Fish,Water,Clouds
First,Last,Next,Between,Above,Quickly
Dry,Wet,Swim,Water,Rainy,Sad
Strong,Weak,Big,Skinny,Happy,Pretty
Mean,Nice,Angry,Simple,Cruel,Argue
Brave,Scared,Strong,Big,Happy,Skinny
Rare,Common,Normal,Unusual,Sight,Always
Careful,Reckless,Kind,Cruel,Insurance,Slow
Possible,Impossible,Likely,Probable,Future,Happy
Loud,Quite,Noisy,Annoy,Angry,Brave
Buy,Sell,Owner,Money,Gift,Recieve
Start,Finish,Begin,Fail,Race,Win
Man,Woman,Child,Uncle,Father,Granpa
Boy,Girl,Teacher,Mother,Sister,Brother
Brother,Sister,Nephew,Niece,Family,Dad
Dad,Mom,Child,Parent,Old,Young
Uncle,Aunt,Cousin,Nephew,Grandparent,Child
Nothing,Everything,Little,Few,Many,Possible
Sunset,Sunrise,Night,Day,Windy,Sunny
Wife,Husband,Children,Family,Uncle,Brother
Teacher,Student,Principal,School,Pastor,Tutor
King,Queen,Knight,Guard,Servant,Crown
Love,Hate,Peace,Angry,Happy,Argue
Friend,Enemy,Soldier,Army,School,Group
Correct,Incorrect,Never,Pass,Fail,Test
Win,Lose,Score,Soccer,Draw,Field
Open,Close,Light,Door,Make,See
Create,Distroy,Build,Helpful,Useful,Learn
Teach,Learn,Help,School,Test,Pass
Awake,Asleep,Dream,Thought,Calm,Bed
Play,Work,Learn,Teach,Book,Job
Laugh,Cry,Help,Joke,Friend,Happy
Sit,Stand,Run,Walk,Jog,Fall
Far,Near,Hills,Clouds,Inside,Long
Odd,Even,Angle,Number,Strange,Common
Neat,Messy,Tidy,White,Empty,Simple
Singular,Plural,One,Single,Everything,Nothing
Push,Pull,Weak,Run,Smash,Break
Real,Fake,Rare,Simple,Normal,Believe
Safe,Dangerous,Open,Police,Criminal,Child
Inside,Outside,Always,Top,Include,Within
Lower,Raise,Same,Change,Money,Up
Catch,Throw,Bowl,Kick,Bat,Scrum
Upstairs,Downstairs,Kitchen,Basement,Below,Down
Easy,Tough,Simple,Quickly,Angry,Pass
Tame,Wild,Animal,Calm,Pet,Train
Shallow,Deep,Ocean,Under,Below,Down
Straight,Crooked,Obscure,Line,Ruler,Measure
Major,Minor,Empty,Full,Big,Small
Lead,Follow,Teacher,Write,Test,Run
Narrow,Wide,Small,Little,Line,Angle
Loose,Tight,Hang,Squeeze,Hold,Fall
Hard,Soft,Metal,Wood,Difficult,Easy
Lost,Found,Steal,Empty,Buy,Gift
Enter,Exit,Come,Inside,Outside,Win
Repair,Break,Build,Make,Design,Up
After,Before,Past,Fly,Future,Run
Better,Worse,Good,Happy,Lack,Well
Add,Subtract,Multiply,Divide,Count,Sum
Clean,Dirty,Play,Wash,Beautiful,Smell
Birth,Death,Live,Grow,Old,Yell
East,West,Direction,Compass,Left,Up
Skinny,Fat,Empty,Eat,Cook,Hungry
Begin,End,Start,Fast,Lag,Time
High,Low,Jump,Crawl,Bend,Stand
Gentle,Rough,Smooth,Hard,Talk,Soft
Male,Female,Dad,Mom,Kitchen,Down
Lies,Truth,Poetry,Story,Fiction,Book
Poor,Rich,Money,Wealth,Buy,Settle
Present,Absent,Here,Away,Available,Disappear
Polite,Rude,Sweet,Manners,Good,Nothing
Sour,Sweet,Candy,Sugar,Cakes,Lemon
White,Black,Red,Clouds,Colours,Clear
Same,Different,New,Unusual,Main,Bottom
Well,Sick,Fine,Awake,Around,Thinking
Father,Mother,Siblings,Dad,Parent,Friend
Less,More,Few,Plenty,Mistake,Day
Shout,Whisper,Talk,Scream,Bad,Loud
Walk,Run,Cruise,Relax,Speed,Move
Read,Write,Doodle,Shakespear,Break,Bottom
Smart,Dumb,Think,Guess,School,Monkey
Simple,Challenging,Easy,Ability,Possible,Pencil
Crazy,Sane,Calm,Normal,Problem,Alive
Calm,Worried,Okay,Climb,Shoes,Happy
Ignorant,Educated,Student,Professer,University,Clueless
Input,Output,Outside,Like,Side,Car
Inhale,Exhale,Breath,Weak,Smash,Zeal
Occupied,Vacant,Taken,Fail,Unavailable,Night
Pre,Post,Before,Now,Maybe,Certain
Silence,Noise,Quiet,Bang,Music,Wave
Hired,Fired,Job,Manager,Resign,Apply
Give,Receive,Gift,Kind,Make,Heart
