weak,week,strong,thin,day,sick
blue,blew,few,blow,wind,colour
bear,bare,full,animal,wild,fur
there,their,they're,when,that,therefore
to,too,twice,rice,flu,goo
no,know,now,so,who,go
some,sum,son,sun,light,many
son,sun,boy,light,star,bright
threw,through,throne,that,catch,caught
hear,here,listen,there,up,next
see,sea,look,land,seen,saw
where,wear,year,there,wore,tore
your,you're,you,all,are,none
which,witch,snitch,rich,white,magic
meet,meat,mate,rate,feet,date
past,passed,present,future,now,later
by,buy,sell,cost,price,bought
flour,flower,tree,seed,flow,hour
for,four,forth,flour,or,sore
or,ore,saw,core,floor,poor
tail,tale,tool,cruel,head,story
knew,new,know,sow,old,lost
cent,sent,receive,learnt,tent,gave
be,bee,see,key,lock,honey
ant,aunt,uncle,insect,small,old
aid,aide,help,said,fade,laid
affect,effect,cause,problem,right,after
cell,sell,buy,well,jail,life
deer,dear,beer,rear,love,animal
eye,i,ball,part,see,sight
right,write,pen,fight,night,wrong
bury,berry,dig,fruit,cover,plant
one,won,win,lose,zero,ton
ate,eight,late,eat,fate,food
piece,peace,war,part,pins,whole
rain,rein,sunny,cloudy,feign,sane
bass,base,fish,speaker,table,case
bored,board,bore,boar,pig,tired
die,dye,day,night,live,dead
hair,hare,fur,head,rabbit,animal
brake,break,bake,fix,repair,stop
cereal,serial,breakfast,show,number,lunch
earn,urn,firn,money,work,job
grate,great,cut,good,chop,excellent
forth,fourth,flour,four,feet,first
tide,tied,tired,wave,side,ride
toe,tow,foot,pull,row,sow
feat,feet,toe,achieve,big,leg
hoarse,horse,voice,animal,rough,tough
yoke,yolk,egg,lever,yell,choke
thone,thrown,throw,king,crown,ruler
peal,peel,seal,take,feel,real
lessen,lesson,teach,study,learner,learn
whine,wine,drink,noise,shout,party
mourning,morning,night,afternoon,day,sad
nose,knows,knew,now,smell,head
none,nun,pray,empty,known,zero
steal,steel,rob,metal,steam,stead
accept,except,correct,incorrect,instead,exact
beet,beat,vegetable,hit,bite,neat
build,billed,cost,make,construct,pay
dual,duel,two,fight,battle,twice
flew,flu,sick,ill,healthy,doctor
vary,very,few,many,change,different
wait,weight,stop,go,move,heavy
sole,soul,shoe,body,fish,foot
fair,fare,light,money,flair,flare
stare,stair,case,look,seen,stalk
night,knight,day,prince,right,castle
sew,so,soar,sow,now,cloth
red,read,colour,book,write,dread
bore,boar,board,bored,soar,pig
who's,whose,who,those,these,why
saw,sore,see,injure,pain,seen
Been,Bean,Nut,Brown,Fruit,Never
Sense,Cents,Change,Money,Note,Thought
Chance,Chants,Noise,Strike,Scream,Possible
Czech,Check,Reciept,Chalk,Chuck,Country
Chilly,Chili,Cold,Hot,Windy,Breeze
Sight,Site,Scent,Smell,See,Sad
Course,Coarse,Rough,Curse,Path,Scratch
Cruise,Crews,Cruel,Coupe,Flight,Car
Cymbal,Symbol,Crash,Sign,Splash,Command
Died,Dyed,Colour,Change,Kill,Splash
Fax,Facts,Commands,Print,Copy,Truth
Faint,Feint,Pass,Fall,Fan,Offend
Fairy,Ferry,Dust,Sprinkle,Angel,Boat
Flee,Flea,Run,Fight,Bug,Fence
Foul,Fowl,Fell,Flu,Fight,Bird
Jean,Gene,Pants,Jenny,John,Shoe
Guest,Guessed,Think,Thought,Answer,Try
Jim,Gym,Workout,John,Jimmy,Jam
Herd,Heard,Hear,Her,Animals,Wild
Higher,Hire,Her,Hi,Hello,Up
Hour,Our,Hello,Time,Hey,Hire
Knot,Not,Knit,Clothes,Never,Kite
Led,Lead,Metal,Iron,Steal,Laxitive
Maid,Made,Chef,Clean,Mad,Angry
Mail,Male,Female,Malice,Mall,Letter
Main,Mane,Lion,Fur,Centre,Man
Centre,Center,Cents,Scent,Smell,Main
Maize,Maze,Amaze,Surprise,Clue,Me
Mite,Might,Tiny,Small,Bug,Strong
Mince,Mints,Meat,Many,Mice,Breath
Mist,Missed,Fog,Dew,Cloudy,Mice
Moan,Mown,Lawn,Complain,Medal,Man
Muscle,Mussel,Prawn,Strong,Man,Must
Paste,Paced,Copy,Spread,Put,Pastel
Pair,Pear,Pollen,Per,Fruit,Double
Purr,Per,Raw,Noise,Lion,Each
Roar,Raw,Noise,Sounds,Cooked,Meat
Paws,Pause,Claw,Hands,Wild,Pet
Pier,Peer,Two,Ship,Per,Prior
Phase,Faze,Phone,Fan,Police,Fast
