Kind,Nice,Wild,Funny,Friendly,Best
Fast,Quick,Clean,Slow,First,Last
Shiny,Glossy,Dark,Dull,Colourful,Clear
Big,Large,Small,Tiny,Tall,Short
Noisy,Loud,Silent,Quiet,Whisper,Abrupt
Final,Last,First,Second,Small,Begin
Spectacular,Great,Stupid,Lame,Dull,Smart
Tired,Sleepy,Angry,Ready,Alive,Dead
Tiny,Small,Big,Huge,Tall,Short
Merry,Happy,Angry,Sad,Funny,Bored
Unhappy,Sad,Happy,Glad,Angry,Calm
Skinny,Thin,Small,Tall,Strong,Weak
Similiar,Alike,Different,Correct,Incorrect,Unequal
Smart,Intelligent,Dumb,Stupid,Old,Young
Weird,Strange,Great,Unhealthy,Typical,Same
Scared,Afraid,Angry,Sad,Happy,Meek
Sure,Certain,Likely,Doubtful,Uncertain,Anxious
Angry,Mad,Tired,Happy,Sad,Calm
Fair,Equal,Large,Balance,Unbalanced,Bias
Hilarious,Funny,Smart,Dumb,Old,Depressed
Robber,Thief,Police,Judge,Zuma,Death
Huge,Giant,Tiny,Small,Tall,Short
Lovely,Nice,Expensive,Cheap,Tired,Mean
Cheap,Inexpensive,Pricey,Expensive,Costly,Valuable
Difficult,Hard,Easy,Old,Rough,Smooth
Super,Great,Rainy,Lousy,Lame,Smart
Packed,Crowded,Heavy,Little,Light,Small
Terrible,Horrible,Sweet,Sour,Incredible,Fantastic
Disgusting,Gross,Tasty,Hungry,Good,Nice
Nervous,Anxious,Calm,Angry,Crazy,Short
Awesome,Amazing,Bad,Sorry,Wild,Boring
Ready,Prepared,Afraid,Late,Delayed,Lazy
Closed,Shut,Open,Ajar,Loose,Exit
Shy,Silent,Strange,Weird,Loud,Outspoken
Value,Worth,Number,Good,Price,Money
Total,Sum,None,Addition,Some,Many
Market,Shop,Home,Bedroom,Money,Price
Place,Location,Water,Home,Sad,Alone
Mom,Mother,Brother,Sister,Father,Daughter
Father,Dad,Mother,Brother,Sister,Son
Grandpa,Grandfather,Nephew,Uncle,Mother,Brother
Worker,Employee,Employer,Job,Boss,Friend
Woman,Lady,Man,Flower,Animal,Human
Skill,Ability,Work,Job,Task,Wish
Honour,Dignity,Intelligence,Strong,Wise,Dumb
Watch,See,Smell,Hear,Taste,Feel
Courageous,Brave,Powerful,Strong,Quick,Fast
Required,Neccessary,Certain,Optional,Choice,Ignore
Furious,Rage,Happy,Calm,Excited,Sad
Change,Switch,Drive,Remain,Stay,Keep
Hurry,Rush,Drive,Fast,Slow,Delay
Decide,Choose,Steal,Attempt,Think,Stay
Try,Attempt,Fail,Score,Total,Shoot
